# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1	416	-							A39U_RS0100005	416		partial;pseudo
CDS	without_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1	416	-				IS5 family transposase			A39U_RS0100005	416		partial;pseudo
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	455	958	-							A39U_RS0100010	504		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	455	958	-	WP_010669324.1	WP_010669324.1		ferritin-like domain-containing protein			A39U_RS0100010	504	167	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1063	1479	+							A39U_RS19785	417		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1063	1479	+	WP_018307570.1	WP_018307570.1		hypothetical protein			A39U_RS19785	417	138	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1765	2246	-							A39U_RS17750	482		partial
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	1765	2246	-	WP_018307571.1	WP_018307571.1		IS5 family transposase			A39U_RS17750	482	159	partial
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	2640	2960	-							A39U_RS0100025	321		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	2640	2960	-	WP_010667381.1	WP_010667381.1		hypothetical protein			A39U_RS0100025	321	106	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	3024	3899	-							A39U_RS0100030	876		
CDS	with_protein	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	3024	3899	-	WP_007284719.1	WP_007284719.1		DUF945 domain-containing protein			A39U_RS0100030	876	291	
gene	protein_coding	GCF_000379545.1	Primary Assembly	unplaced scaffold		NZ_KB902575.1	4531	5199	+							A39U_RS0100040	669		
